Material;Texto breve material
4000662;CLARITIN 10MG C/6CP                     
4000663;CLARITIN XPE PED 1MG/ML C/100ML         
4000664;GINO-CANESTEN 1PC CRM VAG C/35G         
4000665;GINO-CANESTEN 2PC CREM VAG C/20G        
4000667;NATELE GELATINOSAS C/28CP               
4000668;BENERVA 300MG C/30CP                    
4000669;EPHYNAL 400MG C/30CP GEL                
4000670;FLANAX 275MG C/20CP                     
4000671;FLANAX 550MG C/10CP                     
4000673;PROTOVIT PLUS GTS 20ML                  
4000674;REDOXON 1G LARANJA C/10CP EFER          
4000675;REDOXON 2G LIMA/LIMAO C/10CP            
4000677;REDOXON 200MG GTS 20ML                  
4000678;ENERGIL C 1G EFERV C/10CP               
4000679;ENERGIL C 1G EFERV C/30CP               
4000680;ENERGIL C 1G ZINCO EFERV C/10CP         
4000681;ENERGIL C 1G ZINCO EFERV C/30CP         
4000682;ENERGIL C GOTAS C/20ML                  
4000684;NAC XPE INF 20MG/ML C/150ML             
4000685;BALSAMO BENGUE AEROSOL C/120G           
4000686;BALSAMO BENGUE AEROSOL C/60G            
4000687;BALSAMO BENGUE GEL C/20G                
4000688;BALSAMO BENGUE POM C/20G                
4000689;BALSAMO BENGUE POM C/60G                
4000690;SALONPAS AIR AEROSOL 80ML               
4000691;SALONPAS EMPL G C/1EVX2UN               
4000692;SALONPAS EMPL P C/1EVX4UN cx40          
4000693;SALONPAS GEL 20G                        
4000694;SALONPAS GEL C/40G                      
4000695;SALONPAS ICE COLD SPRAY C/120ML         
4000696;SALONPAS PAIN RELIEF PATCH C/5EV        
4000697;PEDIALYTE 45 ZINCO GUARANA 500ML        
4000698;PEDIALYTE MAX COCO 500ML                
4000700;PEDIALYTE 60 ZINCO MACA 500ML           
4000703;LUFTAL 40MG C/20CP                      
4000704;LUFTAL GTS C/15ML                       
4000705;LUFTAL MAX 125MG C/10CAP GEL            
4000706;NALDECON DIA C/25BLX4CP CX25            
4000707;NALDECON NOITE C/50BLX4CP CX50          
4000708;STREPSILS MEL LIMAO C/16PAST            
4000709;STREPSILS MEL LIMAO C/4PAST             
4000710;STREPSILS MEL LIMAO C/8PAST             
4000711;ACCUVIT C/30CP                          
4000712;ANDANTOL GEL C/40G                      
4000713;CARNABOL C/20CP                         
4000714;CARNABOL KIDS C/120ML                   
4000715;DAYVIT KIDS C/120ML                     
4000716;SINTOCALMY 300MG C/20CP                 
4000717;VITA E 400 C/30CP                       
4000719;DECONGEX PLUS 12CPR REV                 
4000720;DECONGEX PLUS GTS 20ML                  
4000721;DECONGEX PLUS XPE 120ML                 
4000722;DORALIV 100MG SUSP 20ML                 
4000723;FLAGASS 125MG 10CAPS                    
4000724;FLAGASS GTS 10ML                        
4000725;FLOGORAL COLUTORIO LAR 150ML            
4000726;FLOGORAL COLUTORIO MENTA 150ML          
4000727;FLOGORAL LARANJA 12PAST                 
4000728;FLOGORAL LIMAO 12PAST                   
4000729;FLOGORAL MENTA 12PAST                   
4000730;FLOGORAL SPRAY CEREJA 30ML              
4000731;FLOGORAL SPRAY MENTA 30ML               
4000732;TRANSPULMIN BALS 20G                    
4000733;TRANSPULMIN INF 5SUP                    
4000734;TRANSPULMIN XPE MENTA 150ML             
4000735;TRANSPULMIN XPE PED MEL 150ML           
4000736;SORINE 0,9P SOL NASAL NEB C/45ML        
4000737;SORINE PED SOL NASAL C/30ML             
4000738;SORINE H SOL 30MG/ML 50ML               
4000739;SORINE SSC JATO CONT NASAL C/100ML      
4000740;SORINE SSC SOL NASAL C/50ML             
4000748;SAL DE FRUTA ENO 100G                   
4000749;SAL DE FRUTA ENO ABACAXI 100G           
4000755;SAL DE FRUTA ENO GUARANA 100G           
4000756;SAL DE FRUTA ENO LARANJA 2ENV 5G CX-30  
4000757;SAL DE FRUTA ENO LARANJA 100G           
4000758;SAL DE FRUTA ENO LIMAO 100G             
4000759;SAL DE FRUTA ENO LIMÃO 2ENV 5G CX30     
4000760;SAL DE FRUTA ENO TRADIC 2ENV 5G CX30    
4000761;SONRIDOR 2CPR EFERVECENTE CX12          
4000762;SONRIDOR CAF 2CPR EFERVECENTE CX-12     
4000763;SONRIDOR CAF 4CPR EFERVECENTE CX15      
4000765;SONRISAL TRAD 5ENV 2CPR EFERV           
4000767;ADDERA D3 1.000UI C/30CP                
4000768;ADDERA D3 1.000UI GEL /30CAPS           
4000769;ADDERA D3 50.000UI GEL C/4CAPS          
4000770;ADDERA D3 7.000UI C/4CP                 
4000771;ADDERA D3 7.000UI GEL C/4CAPS           
4000772;ADDERA D3 GOTAS C/10ML                  
4000773;ALIVIUM 100MG GTS 20ML                  
4000774;ALIVIUM 30MG 100ML+SER DOSAD            
4000775;ALIVIUM 400MG 10CPR                     
4000776;ALIVIUM 50MG GTS 30ML                   
4000777;ALIVIUM 600MG 10CPR                     
4000778;APRACUR 6CPR CX-25                      
4000782;BENEGRIP 6CPR CX 25                     
4000783;BENEGRIP 500MG C/20CP                   
4000784;BENEGRIP MULTI SOL ORAL 240ML           
4000786;CALMINEX ICE AERO 170G                  
4000787;CALMINEX ICE AERO 60G MANTECORP         
4000788;CORISTINA D 16CPR                       
4000791;DORIL 6CPR CX25                         
4000792;DORIL ENXAQUECA 18CP COSMED             
4000793;EPOCLER ABACAXI 10ML CX-60              
4000794;EPOCLER TRAD 6FLAC 10ML                 
4000795;ENGOV 6CPR CX25                         
4000799;ESTOMAZIL ABACAXI 5G CX50               
4000801;ESTOMAZIL LARANJA 5G CX-50              
4000802;GELOL AERO 60ML                         
4000804;GELOL POM 20G                           
4000806;LACTO PURGA 5MG 16CPR                   
4000809;MELHORAL INFANTIL 8CPR CX25             
4000810;MERTHIOLATE SPRAY 45ML                  
4000811;POLARAMINE 10MG CR DERM 30G             
4000812;POLARAMINE 2MG 20CPR                    
4000813;POLARAMINE 6MG 12 REPETABS              
4000815;POLARAMINE GTS SOL ORAL 20ML            
4000816;POLARAMINE LIQ 120ML                    
4000818;RINOSORO GTS 30ML                       
4000819;RINOSORO JET 0,9% JATO 100ML            
4000820;RINOSORO SIC 3% 30MG SPRAY 50ML         
4000821;RINOSORO SIC 9MG SPRAY 50ML             
4000822;RINOSORO SIC INF SPRAY 50ML             
4000823;TAMARINE 12MG 20CAPS                    
4000824;TAMARINE 6MG 20CAPS                     
4000825;NICORETTE 2MG ICE MINT C/30CP MAS       
4000826;NICORETTE ICE MINT 4MG C/30CP MAST      
4000827;BENALET FRAMB 12PAST                    
4000828;BENALET FRAMBOESA 4PAST CX-13           
4000829;BENALET MEL LIMAO 12PAST                
4000830;BENALET MENTA 4PAST CX13                
4000831;BENALET MENTA 12PAST                    
4000832;MYLANTA PLUS MENTA 240ML                
4000833;MYLANTA PLUS MORANGO 240ML              
4000835;TYLENOL 500MG 20CPR                     
4000836;TYLENOL 500MG 50BLIST 2CPR CX50         
4000837;TYLENOL 750MG 4CPR CX-50                
4000838;TYLENOL 750MG 20CPR                     
4000839;TYLENOL BEBE GTS 15ML                   
4000840;TYLENOL CRIANCA SUSP ORAL 60ML          
4000841;TYLENOL DC 500MG 65MG 20CPR             
4000842;TYLENOL GTS 15ML                        
4000843;TYLENOL MASTIGAVEL TUTTI-FRUITT 18CPR   
4000844;ADVIL 400MG C/12BLX3CP CX12             
4000845;ADVIL 400MG C/16CP                      
4000846;ADVIL 400MG C/20CAP                     
4000847;ADVIL 400MG C/8CP                       
4000850;CALTRATE 600+D 400UI C/30CP             
4000853;VICK PYRENA MEL/LIMAO 5G CX50           
4000854;VICK VAPORUB UNGUENTO C/30G             
4000855;VICK VAPORUB POT C/50G                  
4000856;VICK PASTILHA MENTOL 5PAST CX24         
4000857;CEWIN 1G LAR 10CPR EFERV                
4000859;CEWIN 500MG 30CPR                       
4000860;CEWIN 500 MG LAR 10CPR EFERV            
4000861;CEWIN GTS 20ML                          
4000862;DORFLEX 10CPR - CX-30                   
4000863;DORFLEX 36CPR                           
4000865;DORFLEX ICY HOT SPRAY 118ML             
4000866;DORFLEX ICY HOT C/5ADESIVOS PEQ         
4000868;DORFLEX ICY HOT C/5ADESIVOS GRANDES     
4000869;DORFLEX ICY HOT C/3 ADESIVOS ELAST      
4000870;NOVALGINA 1G 10CPR                      
4000871;NOVALGINA 1G LIMAO 10CPR EFERV          
4000872;NOVALGINA GTS 10ML                      
4000873;NOVALGINA GTS 20ML                      
4000874;NOVALGINA SOL ORAL 100ML                
4000875;NATURETTI C/16CP                        
4000876;NATURETTI GELEIA C/130G                 
4000877;OS-CAL 500MG C/60CP                     
4000878;OS-CAL D 500MG/400UI C/60CP             
4000879;TARGIFOR C ADT C/16CP EFERV             
4000880;TARGIFOR C C/30CP                       
4000882;HEBRIN MICOSES LIQ 30ML                 
4000883;NEO CEBETIL C/1AX10ML+1BX10ML           
4000884;NUTRIMAIZ SM C/24CP                     
4000886;VODOL MICONAZOL CREME C/28G             
4000887;VODOL MICONAZOL PO 30G                  
4000888;VODOL MICONAZOL SPRAY 60ML              
4000889;ANDRIODERMOL LIQ C/50ML                 
4000890;FOLDAN LOÃÃO 45G                        
4000891;CEBION GTS 200MG CARAMELO C/30ML        
4000892;CEBION 1G C/10CP                        
4000893;FLORATIL 100MG C/12CP (MKO)             
4000894;FLORATIL 200MG C/6CP (MKO)              
4000895;FLORATIL PED 200MG C/4EV                
4000896;FLORATIL PED 200MG C/6ENV               
4000897;DESALEX XAROPE C/100ML                  
4000898;DESALEX XAROPE C/60ML                   
4000899;MUVINLAX LIMAO C/20EVX14G               
4000900;SALSEP 360 SOL NASAL C/50ML             
4000901;SALSEP SOL NASAL C/50ML                 
4000902;PASSAJA 4ML CX24                        
4000903;LACTULONA XPE AMEIXA C/120ML            
4000904;LACTULONA XPE S.FRUTAS C/120ML          
4000905;ELIXIR THEOGORICO SOBRAL 30ML           
4000906;LEITE MAGNESIA PHILLIPS C/120ML         
4000907;LEITE MAGNESIA PHILLIPS C/350ML         
4000908;LEITE MAGNESIA PHILLIPS HORT 120ML      
4000909;LEITE MAGNESIA PHILLIPS HORT C/350ML    
4000910;KWELL CREME RINSE C/60M                 
4000911;MELXI SUS C/100ML                       
4000916;HYABAK SOL OFT C/10ML                   
4000917;NIQUITIN CLEAR PATCHES C/21MG           
4000918;NIQUITIN CLEAR PATCHES C/7MG            
4000919;MELAGRIAO XAROPE C/150ML                
4000921;CAMOMILA C/150ML                        
4000922;ELIXIR PAREGORICO C/30ML                
4000923;FIGATIL C/20CP                          
4000924;FIGATIL C/150ML                         
4000925;MELAGRIAO PROPOLIVE C/30ML              
4000926;MINANCORA POMADA 30G                    
4000927;FLOGORAL CEREJA 12PAST                  
4000928;PROLIVE C/15CP                          
4000929;PROLIVE C/30CP                          
4000930;COMPLEXO OMEGA A-Z C/30CP               
4000931;NOREGYNA INJ C/1APX1ML+SER              
4000933;BROMELIN PROPOLIS 50ML                  
4000934;BROMELIN SUS C/100ML                    
4000935;PYR-PAM C/6CP                           
4000936;PYR-PAM SUSP C/40ML                     
4000937;RILAN 2 PC SOL NASAL C/15ML             
4000939;OMEGA MATER C/30                        
4000940;ABC CREME TUBO 20G                      
4000941;AERODINI AEROSOL FRASCO 200DOSES        
4000942;AH-ZUL 50MG CX 1CP                      
4000943;AH-ZUL 50MG CX 2CP                      
4000944;ALLEXOFEDRIN 120MG CX10CP               
4000945;ALLEXOFEDRIN 180MG CX10CP               
4000946;ALLEXOFEDRIN D 60+120MG CX10CP          
4000947;ANTIVIRAX 200MG CX 25CP                 
4000948;ATENOLAB 100MG CX 30CP                  
4000953;BETSONA CREME TUBO 30G                  
4000954;BETSONA POMADATUBO 30G                  
4000957;BRONTEK XPE 10MG/ML ADT FRASCO 120ML+COP
4000959;CELERGIN 2MG+0,25MG CX 20CP             
4000960;CELERGIN 2MG+0,25MG XPE FRASCO 120ML    
4000961;CLINDAMIN-C 300MG CX16CP                
4000962;COCICHIMIL 0,5MG CX 20CP                
4000963;CORTICORTEN 5MG CX 20CP                 
4000964;CORTICORTEN 20MG CX 20CP                
4000965;DESLORANA 5MG CX 10CP                   
4000966;DESTADIN 5MG CX 10CP                    
4000969;DIGESTINA 10MG CX 20CP                  
4000970;DIGESTINA 4MG GOTAS FRASCO 20ML         
4000971;DOMPLIV 10MG CX 30CP                    
4000972;EMISTIN CX 20CP                         
4000973;EMISTIN CREME TUBO20G                   
4000974;EXPECTOR XPE FRASCO 120ML               
4000975;ESPASMO DIMETILIV GTS FRASCO 20ML       
4000977;EXPEC XPE FRASCO 120ML                  
4000979;FLAVONID 450/50MG CX 30CP               
4000980;FLOXICAM 20MG CX 15CP                   
4000982;FLUCOVIL 150MG CX 1CP                   
4000983;FLUCOVIL 150MG CX 2CP                   
4000984;GASTROBION GEL SUSP CEREJA FRASCO 240ML 
4000986;GLIONIL 5MG CX 30CP                     
4000987;HELMIZOL GEL VAGINAL TUBO 50G           
4000988;HIDROFLUX 25MG CX 30CP                  
4000990;HISTADIN D XPE FRASCO 60ML              
4000991;HISTADIN XPE 1MG FRASCO 100ML           
4000992;HISTAMIN 2MG CX 20CP                    
4000994;HIXILERG 2MG/ML SOLUÃAO FRASCO 120ML    
4000995;IVERNEO 6MG CX 2CP                      
4000996;IVERNEO 6MG CX 4CP                      
4000997;LEVERCTIN 6MG CX 2CP                    
4000998;LEVERCTIN 6MG CX 4CP                    
4000999;LIPNEO 100MG CX 30CP                    
4001000;LOZEPREL 20MG CX 56CP                   
4001002;NARIDRIN SOL NASAL INF FRASCO 15ML      
4001004;NAUSICALM GOTAS FRASCO 20ML             
4001008;NEOSULIDA 100MG CX 12CP                 
4001011;NISTRATIZIN 25000UI TUBO 60G+14APL      
4001012;NOCICLIN CX 21CP                        
4001014;OMENAX 40MG CX 28CAPS                   
4001015;OTOMIXYN GTS FRASCO 5ML                 
4001016;OTOSYLASE SOL OTO FRASCO10ML            
4001019;PREGNOLAN 150MG/10MG 1 AMPOLA 1ML       
4001020;PRESSOMEDE 10MG CX 30CP TJ              
4001021;PRESSOMEDE 20MG CX 30CP                 
4001022;PROFERGAN 25MG CX 20CP                  
4001023;RENALAPRIL 5MG CX 30CP                  
4001025;SCALID 100MG CX12 CP                    
4001027;SECNIHEXAL 1000MG CX 2CP                
4001028;SECNIHEXAL 1000MG CX 4CP                
4001029;SINVASTACOR 10MG CX 30CP                
4001030;SINVASTACOR 40MG CX 30CP                
4001034;TENSALIV 10MG CX 30CP                   
4001035;TENSALIV 5MG CX 30CP                    
4001036;TIBIAL 2,5MG CX 28CP                    
4001037;TILOXINEO 20MG CX 10CP                  
4001040;TORSILAX CX 12CP                        
4001041;TORSILAX CX 30CP                        
4001042;TRIAXON IM 500MG 1 FRASCO-AMP 2ML+DIL   
4001043;TRILAX CX 12CP                          
4001044;TRINODAZOL GELEIA VAG TUBO 50G+10APL    
4001045;UNI VIR 200MG CX 25CP                   
4001046;VARICOSS CX 20CP                        
4001047;VARICOSS CX 60CP                        
4001048;VENAFLON 450+50MG CX 30CP               
4001049;VERTIGIUM 10MG CX 50CP                  
4001053;CALCIODEX  B12 LIQ 150ML                
4001054;CALCIODEX 500MG 60CP GELATINOSA         
4001055;CALOTRAT LIQUIDO 5ML                    
4001056;GLYTEOL BAUNILHA ADT 100ML              
4001057;GLYTEOL PED MORANGO 100ML               
4001058;GLYTEOL XPE ADULT BAUNILHA 150ML        
4001059;GOTAS PRECIOSAS 30ML                    
4001062;BROMIL XPE EXPEC ADT FRASCO 150ML       
4001063;BUPROVIL 300MG CX 30CP                  
4001064;BUSCOPLEX COMPOSTO FRASCO 20ML          
4001066;CARVEROL 250MG CX 20CP                  
4001070;CLORATADD 10MG CX12CP                   
4001071;CLORATADD 5MG/5ML XPE FRASCO 100ML      
4001073;COLACT 667MG/ML FRASCO 120ML            
4001074;COMPLEXO B CX 100CP EMS                 
4001075;COMPLEXO B CX 20CP                      
4001077;DIMETILIV 75MG GTS FRASCO 15ML          
4001078;DIMETILIV MAX 125MG CX 10CP             
4001079;DORALGINA CX 20CP                       
4001080;DORSANOL 500MG CX 20CP                  
4001081;DORSANOL 750MG CX 20CP                  
4001084;DORSPAN COMPOSTO CX 20CP                
4001086;EXPECTUSS XPE ADT FRASCO 100ML          
4001087;FENAFLAN GEL FRASCO 60G                 
4001088;FENAREN 11,6MG/G GEL FRASCO 60G         
4001089;FIXA-CAL 625 G CX 90CP                  
4001090;FLOMICIN 100MG CX 12CP                  
4001091;FLUCISTEIN 200MG AD CX 15SACHE 5G       
4001092;FLUCISTEIN XPE ADT/PED FRASCO 100ML     
4001093;FLUITEINA 40MG/ML XPE FRASCO 120ML      
4001094;FLUITEINA 600MG CX 16SACHE 5G           
4001096;FLUITEINA XPE PED 20MG FRASCO120ML      
